model,layer,domain_a,domain_b,auc
google--gemma-3-12b-it--width_16k,14,chemistry,physics,0.91066
google--gemma-3-12b-it--width_16k,14,math,physics,0.879578
google--gemma-3-12b-it--width_16k,15,biology,chemistry,0.842712
google--gemma-3-12b-it--width_16k,15,biology,math,0.79126
google--gemma-3-12b-it--width_16k,15,biology,physics,0.810944
google--gemma-3-12b-it--width_16k,15,chemistry,math,0.867035
google--gemma-3-12b-it--width_16k,15,chemistry,physics,0.915146
google--gemma-3-12b-it--width_16k,15,math,physics,0.889832
google--gemma-3-12b-it--width_16k,16,biology,chemistry,0.853516
google--gemma-3-12b-it--width_16k,16,biology,math,0.795654
google--gemma-3-12b-it--width_16k,16,biology,physics,0.82074
google--gemma-3-12b-it--width_16k,16,chemistry,math,0.87413
google--gemma-3-12b-it--width_16k,16,chemistry,physics,0.919128
google--gemma-3-12b-it--width_16k,16,math,physics,0.895599
google--gemma-3-12b-it--width_16k,17,biology,chemistry,0.841156
google--gemma-3-12b-it--width_16k,17,biology,math,0.785904
google--gemma-3-12b-it--width_16k,17,biology,physics,0.804672
google--gemma-3-12b-it--width_16k,17,chemistry,math,0.861633
google--gemma-3-12b-it--width_16k,17,chemistry,physics,0.914047
google--gemma-3-12b-it--width_16k,17,math,physics,0.882645
google--gemma-3-12b-it--width_16k,18,biology,chemistry,0.842041
google--gemma-3-12b-it--width_16k,18,biology,math,0.786011
google--gemma-3-12b-it--width_16k,18,biology,physics,0.804916
google--gemma-3-12b-it--width_16k,18,chemistry,math,0.861404
google--gemma-3-12b-it--width_16k,18,chemistry,physics,0.913681
google--gemma-3-12b-it--width_16k,18,math,physics,0.88031
google--gemma-3-12b-it--width_16k,19,biology,chemistry,0.84317
google--gemma-3-12b-it--width_16k,19,biology,math,0.786957
google--gemma-3-12b-it--width_16k,19,biology,physics,0.807098
google--gemma-3-12b-it--width_16k,19,chemistry,math,0.862717
google--gemma-3-12b-it--width_16k,19,chemistry,physics,0.913895
google--gemma-3-12b-it--width_16k,19,math,physics,0.882675
google--gemma-3-12b-it--width_16k,20,biology,chemistry,0.85141
google--gemma-3-12b-it--width_16k,20,biology,math,0.79451
google--gemma-3-12b-it--width_16k,20,biology,physics,0.815704
google--gemma-3-12b-it--width_16k,20,chemistry,math,0.86853
google--gemma-3-12b-it--width_16k,20,chemistry,physics,0.920486
google--gemma-3-12b-it--width_16k,20,math,physics,0.88826
google--gemma-3-12b-it--width_16k,21,biology,chemistry,0.853607
google--gemma-3-12b-it--width_16k,21,biology,math,0.798859
google--gemma-3-12b-it--width_16k,21,biology,physics,0.81868
google--gemma-3-12b-it--width_16k,21,chemistry,math,0.88031
google--gemma-3-12b-it--width_16k,21,chemistry,physics,0.928421
google--gemma-3-12b-it--width_16k,21,math,physics,0.90155
google--gemma-3-12b-it--width_16k,22,biology,chemistry,0.867294
google--gemma-3-12b-it--width_16k,22,biology,math,0.810944
google--gemma-3-12b-it--width_16k,22,biology,physics,0.832001
google--gemma-3-12b-it--width_16k,22,chemistry,math,0.896591
google--gemma-3-12b-it--width_16k,22,chemistry,physics,0.936478
google--gemma-3-12b-it--width_16k,22,math,physics,0.914856
google--gemma-3-12b-it--width_16k,23,biology,chemistry,0.854019
google--gemma-3-12b-it--width_16k,23,biology,math,0.793182
google--gemma-3-12b-it--width_16k,23,biology,physics,0.811951
google--gemma-3-12b-it--width_16k,23,chemistry,math,0.88913
google--gemma-3-12b-it--width_16k,23,chemistry,physics,0.932251
google--gemma-3-12b-it--width_16k,23,math,physics,0.911194
google--gemma-3-12b-it--width_16k,24,biology,chemistry,0.862167
google--gemma-3-12b-it--width_16k,24,biology,math,0.805862
google--gemma-3-12b-it--width_16k,24,biology,physics,0.823624
google--gemma-3-12b-it--width_16k,24,chemistry,math,0.899658
google--gemma-3-12b-it--width_16k,24,chemistry,physics,0.940964
google--gemma-3-12b-it--width_16k,24,math,physics,0.921173
google--gemma-3-12b-it--width_16k,25,biology,chemistry,0.861069
google--gemma-3-12b-it--width_16k,25,biology,math,0.807419
google--gemma-3-12b-it--width_16k,25,biology,physics,0.824402
google--gemma-3-12b-it--width_16k,25,chemistry,math,0.901993
google--gemma-3-12b-it--width_16k,25,chemistry,physics,0.94133
google--gemma-3-12b-it--width_16k,25,math,physics,0.920761
google--gemma-3-12b-it--width_16k,26,biology,chemistry,0.85022
google--gemma-3-12b-it--width_16k,26,biology,math,0.794006
google--gemma-3-12b-it--width_16k,26,biology,physics,0.815475
google--gemma-3-12b-it--width_16k,26,chemistry,math,0.898605
google--gemma-3-12b-it--width_16k,26,chemistry,physics,0.941101
google--gemma-3-12b-it--width_16k,26,math,physics,0.918335
google--gemma-3-12b-it--width_16k,27,biology,chemistry,0.844498
google--gemma-3-12b-it--width_16k,27,biology,math,0.784302
google--gemma-3-12b-it--width_16k,27,biology,physics,0.806503
google--gemma-3-12b-it--width_16k,27,chemistry,math,0.893631
google--gemma-3-12b-it--width_16k,27,chemistry,physics,0.937027
google--gemma-3-12b-it--width_16k,27,math,physics,0.914185
google--gemma-3-12b-it--width_16k,28,biology,chemistry,0.831543
google--gemma-3-12b-it--width_16k,28,biology,math,0.766083
google--gemma-3-12b-it--width_16k,28,biology,physics,0.797577
google--gemma-3-12b-it--width_16k,28,chemistry,math,0.881989
google--gemma-3-12b-it--width_16k,28,chemistry,physics,0.933899
google--gemma-3-12b-it--width_16k,28,math,physics,0.904892
google--gemma-3-12b-it--width_16k,29,biology,chemistry,0.832657
google--gemma-3-12b-it--width_16k,29,biology,math,0.771484
google--gemma-3-12b-it--width_16k,29,biology,physics,0.797638
google--gemma-3-12b-it--width_16k,29,chemistry,math,0.884094
google--gemma-3-12b-it--width_16k,29,chemistry,physics,0.931305
google--gemma-3-12b-it--width_16k,29,math,physics,0.903046
google--gemma-3-12b-it--width_16k,30,biology,chemistry,0.826462
google--gemma-3-12b-it--width_16k,30,biology,math,0.75972
google--gemma-3-12b-it--width_16k,30,biology,physics,0.791351
google--gemma-3-12b-it--width_16k,30,chemistry,math,0.873947
google--gemma-3-12b-it--width_16k,30,chemistry,physics,0.928238
google--gemma-3-12b-it--width_16k,30,math,physics,0.89299
google--gemma-3-12b-it--width_16k,31,biology,chemistry,0.826706
google--gemma-3-12b-it--width_16k,31,biology,math,0.761871
google--gemma-3-12b-it--width_16k,31,biology,physics,0.790817
google--gemma-3-12b-it--width_16k,31,chemistry,math,0.876724
google--gemma-3-12b-it--width_16k,31,chemistry,physics,0.927414
google--gemma-3-12b-it--width_16k,31,math,physics,0.893433
google--gemma-3-12b-it--width_16k,32,biology,chemistry,0.820877
google--gemma-3-12b-it--width_16k,32,biology,math,0.753311
google--gemma-3-12b-it--width_16k,32,biology,physics,0.781555
google--gemma-3-12b-it--width_16k,32,chemistry,math,0.871872
google--gemma-3-12b-it--width_16k,32,chemistry,physics,0.923508
google--gemma-3-12b-it--width_16k,32,math,physics,0.891693
google--gemma-3-12b-it--width_16k,33,biology,chemistry,0.816116
google--gemma-3-12b-it--width_16k,33,biology,math,0.748184
google--gemma-3-12b-it--width_16k,33,biology,physics,0.777893
google--gemma-3-12b-it--width_16k,33,chemistry,math,0.865189
google--gemma-3-12b-it--width_16k,33,chemistry,physics,0.92215
google--gemma-3-12b-it--width_16k,33,math,physics,0.887253
google--gemma-3-12b-it--width_16k,34,biology,chemistry,0.811325
google--gemma-3-12b-it--width_16k,34,biology,math,0.74649
google--gemma-3-12b-it--width_16k,34,biology,physics,0.774506
google--gemma-3-12b-it--width_16k,34,chemistry,math,0.868301
google--gemma-3-12b-it--width_16k,34,chemistry,physics,0.922226
google--gemma-3-12b-it--width_16k,34,math,physics,0.88887
google--gemma-3-12b-it--width_16k,35,biology,chemistry,0.810669
google--gemma-3-12b-it--width_16k,35,biology,math,0.748688
google--gemma-3-12b-it--width_16k,35,biology,physics,0.772812
google--gemma-3-12b-it--width_16k,35,chemistry,math,0.867798
google--gemma-3-12b-it--width_16k,35,chemistry,physics,0.920074
google--gemma-3-12b-it--width_16k,35,math,physics,0.891052
google--gemma-3-12b-it--width_16k,36,biology,chemistry,0.80957
google--gemma-3-12b-it--width_16k,36,biology,math,0.746307
google--gemma-3-12b-it--width_16k,36,biology,physics,0.769608
google--gemma-3-12b-it--width_16k,36,chemistry,math,0.865738
google--gemma-3-12b-it--width_16k,36,chemistry,physics,0.919159
google--gemma-3-12b-it--width_16k,36,math,physics,0.88945
google--gemma-3-12b-it--width_16k,37,biology,chemistry,0.808258
google--gemma-3-12b-it--width_16k,37,biology,math,0.74498
google--gemma-3-12b-it--width_16k,37,biology,physics,0.770432
google--gemma-3-12b-it--width_16k,37,chemistry,math,0.866608
google--gemma-3-12b-it--width_16k,37,chemistry,physics,0.917877
google--gemma-3-12b-it--width_16k,37,math,physics,0.888092
google--gemma-3-12b-it--width_16k,38,biology,chemistry,0.808701
google--gemma-3-12b-it--width_16k,38,biology,math,0.748596
google--gemma-3-12b-it--width_16k,38,biology,physics,0.771484
google--gemma-3-12b-it--width_16k,38,chemistry,math,0.866791
google--gemma-3-12b-it--width_16k,38,chemistry,physics,0.917114
google--gemma-3-12b-it--width_16k,38,math,physics,0.888855
google--gemma-3-12b-it--width_16k,39,biology,chemistry,0.811127
google--gemma-3-12b-it--width_16k,39,biology,math,0.75267
google--gemma-3-12b-it--width_16k,39,biology,physics,0.774963
google--gemma-3-12b-it--width_16k,39,chemistry,math,0.869644
google--gemma-3-12b-it--width_16k,39,chemistry,physics,0.921097
google--gemma-3-12b-it--width_16k,39,math,physics,0.892761
google--gemma-3-12b-it--width_16k,40,biology,chemistry,0.819412
google--gemma-3-12b-it--width_16k,40,biology,math,0.762878
google--gemma-3-12b-it--width_16k,40,biology,physics,0.783936
google--gemma-3-12b-it--width_16k,40,chemistry,math,0.874069
google--gemma-3-12b-it--width_16k,40,chemistry,physics,0.920578
google--gemma-3-12b-it--width_16k,40,math,physics,0.897247
google--gemma-3-12b-it--width_16k,41,biology,chemistry,0.815979
google--gemma-3-12b-it--width_16k,41,biology,math,0.759308
google--gemma-3-12b-it--width_16k,41,biology,physics,0.779175
google--gemma-3-12b-it--width_16k,41,chemistry,math,0.87146
google--gemma-3-12b-it--width_16k,41,chemistry,physics,0.920319
google--gemma-3-12b-it--width_16k,41,math,physics,0.89389
google--gemma-3-12b-it--width_16k,42,biology,chemistry,0.815384
google--gemma-3-12b-it--width_16k,42,biology,math,0.760406
google--gemma-3-12b-it--width_16k,42,biology,physics,0.781693
google--gemma-3-12b-it--width_16k,42,chemistry,math,0.873306
